"raw_gene_id","gene_type","official_symbol","description","human_ortho","mouse_ortho","zebrafish_ortho","display_symbol"
"f8a1","Annotated_Symbol","f8a1","f8a1","F8A1","F8a1","f8a1","f8a1"
"f9a","Annotated_Symbol","f9a","f9a","F9A","F9a","f9a","f9a"
"f9b","Annotated_Symbol","f9b","f9b","F9B","F9b","f9b","f9b"
"fa10","Annotated_Symbol","fa10","fa10","FA10","Fa10","fa10","fa10"
"fa29a","Annotated_Symbol","fa29a","fa29a","FA29A","Fa29a","fa29a","fa29a"
"fa36a","Annotated_Symbol","fa36a","fa36a","FA36A","Fa36a","fa36a","fa36a"
"fa44b","Annotated_Symbol","fa44b","fa44b","FA44B","Fa44b","fa44b","fa44b"
"fa49a","Annotated_Symbol","fa49a","fa49a","FA49A","Fa49a","fa49a","fa49a"
"fa53b","Annotated_Symbol","fa53b","fa53b","FA53B","Fa53b","fa53b","fa53b"
"fa55c","Annotated_Symbol","fa55c","fa55c","FA55C","Fa55c","fa55c","fa55c"
"fa69b","Annotated_Symbol","fa69b","fa69b","FA69B","Fa69b","fa69b","fa69b"
"fa70b","Annotated_Symbol","fa70b","fa70b","FA70B","Fa70b","fa70b","fa70b"
"fa9","Annotated_Symbol","fa9","fa9","FA9","Fa9","fa9","fa9"
"faah2b","Annotated_Symbol","faah2b","faah2b","FAAH2B","Faah2b","faah2b","faah2b"
"faap100","Annotated_Symbol","faap100","faap100","FAAP100","Faap100","faap100","faap100"
"faap24","Annotated_Symbol","faap24","faap24","FAAP24","Faap24","faap24","faap24"
"fabp2","Annotated_Symbol","fabp2","fabp2","FABP2","Fabp2","fabp2","fabp2"
"fabp3","Annotated_Symbol","fabp3","fabp3","FABP3","Fabp3","fabp3","fabp3"
"fabp4","Annotated_Symbol","fabp4","fabp4","FABP4","Fabp4","fabp4","fabp4"
"fabp7","Annotated_Symbol","fabp7","fabp7","FABP7","Fabp7","fabp7","fabp7"
"fabp7b","Annotated_Symbol","fabp7b","fabp7b","FABP7B","Fabp7b","fabp7b","fabp7b"
"fabpl","Annotated_Symbol","fabpl","fabpl","FABPL","Fabpl","fabpl","fabpl"
"face1","Annotated_Symbol","face1","face1","FACE1","Face1","face1","face1"
"facr1","Annotated_Symbol","facr1","facr1","FACR1","Facr1","facr1","facr1"
"fadsd5","Annotated_Symbol","fadsd5","fadsd5","FADSD5","Fadsd5","fadsd5","fadsd5"
"fadsd6","Annotated_Symbol","fadsd6","fadsd6","FADSD6","Fadsd6","fadsd6","fadsd6"
"fahd1","Annotated_Symbol","fahd1","fahd1","FAHD1","Fahd1","fahd1","fahd1"
"fahd2a","Annotated_Symbol","fahd2a","fahd2a","FAHD2A","Fahd2a","fahd2a","fahd2a"
"faim2","Annotated_Symbol","faim2","faim2","FAIM2","Faim2","faim2","faim2"
"faim2a","Annotated_Symbol","faim2a","faim2a","FAIM2A","Faim2a","faim2a","faim2a"
"fam102aa","Annotated_Symbol","fam102aa","fam102aa","FAM102AA","Fam102aa","fam102aa","fam102aa"
"fam102ab","Annotated_Symbol","fam102ab","fam102ab","FAM102AB","Fam102ab","fam102ab","fam102ab"
"fam110b","Annotated_Symbol","fam110b","fam110b","FAM110B","Fam110b","fam110b","fam110b"
"fam110c","Annotated_Symbol","fam110c","fam110c","FAM110C","Fam110c","fam110c","fam110c"
"fam113","Annotated_Symbol","fam113","fam113","FAM113","Fam113","fam113","fam113"
"fam114a2","Annotated_Symbol","fam114a2","fam114a2","FAM114A2","Fam114a2","fam114a2","fam114a2"
"fam117bb","Annotated_Symbol","fam117bb","fam117bb","FAM117BB","Fam117bb","fam117bb","fam117bb"
"fam118b","Annotated_Symbol","fam118b","fam118b","FAM118B","Fam118b","fam118b","fam118b"
"fam120b","Annotated_Symbol","fam120b","fam120b","FAM120B","Fam120b","fam120b","fam120b"
"fam131a","Annotated_Symbol","fam131a","fam131a","FAM131A","Fam131a","fam131a","fam131a"
"fam131ba","Annotated_Symbol","fam131ba","fam131ba","FAM131BA","Fam131ba","fam131ba","fam131ba"
"fam131bb","Annotated_Symbol","fam131bb","fam131bb","FAM131BB","Fam131bb","fam131bb","fam131bb"
"fam131c","Annotated_Symbol","fam131c","fam131c","FAM131C","Fam131c","fam131c","fam131c"
"fam133b","Annotated_Symbol","fam133b","fam133b","FAM133B","Fam133b","fam133b","fam133b"
"fam135a","Annotated_Symbol","fam135a","fam135a","FAM135A","Fam135a","fam135a","fam135a"
"fam13c","Annotated_Symbol","fam13c","fam13c","FAM13C","Fam13c","fam13c","fam13c"
"fam149a","Annotated_Symbol","fam149a","fam149a","FAM149A","Fam149a","fam149a","fam149a"
"fam151a","Annotated_Symbol","fam151a","fam151a","FAM151A","Fam151a","fam151a","fam151a"
"fam151b","Annotated_Symbol","fam151b","fam151b","FAM151B","Fam151b","fam151b","fam151b"
"fam161a","Annotated_Symbol","fam161a","fam161a","FAM161A","Fam161a","fam161a","fam161a"
"fam161b","Annotated_Symbol","fam161b","fam161b","FAM161B","Fam161b","fam161b","fam161b"
"fam162a","Annotated_Symbol","fam162a","fam162a","FAM162A","Fam162a","fam162a","fam162a"
"fam166b","Annotated_Symbol","fam166b","fam166b","FAM166B","Fam166b","fam166b","fam166b"
"fam166c","Annotated_Symbol","fam166c","fam166c","FAM166C","Fam166c","fam166c","fam166c"
"fam167ab","Annotated_Symbol","fam167ab","fam167ab","FAM167AB","Fam167ab","fam167ab","fam167ab"
"fam168b","Annotated_Symbol","fam168b","fam168b","FAM168B","Fam168b","fam168b","fam168b"
"fam169ab","Annotated_Symbol","fam169ab","fam169ab","FAM169AB","Fam169ab","fam169ab","fam169ab"
"fam169b","Annotated_Symbol","fam169b","fam169b","FAM169B","Fam169b","fam169b","fam169b"
"fam171a2a","Annotated_Symbol","fam171a2a","fam171a2a","FAM171A2A","Fam171a2a","fam171a2a","fam171a2a"
"fam177a1","Annotated_Symbol","fam177a1","fam177a1","FAM177A1","Fam177a1","fam177a1","fam177a1"
"fam180a","Annotated_Symbol","fam180a","fam180a","FAM180A","Fam180a","fam180a","fam180a"
"fam184aa","Annotated_Symbol","fam184aa","fam184aa","FAM184AA","Fam184aa","fam184aa","fam184aa"
"fam185a","Annotated_Symbol","fam185a","fam185a","FAM185A","Fam185a","fam185a","fam185a"
"fam189a1","Annotated_Symbol","fam189a1","fam189a1","FAM189A1","Fam189a1","fam189a1","fam189a1"
"fam193a","Annotated_Symbol","fam193a","fam193a","FAM193A","Fam193a","fam193a","fam193a"
"fam204a","Annotated_Symbol","fam204a","fam204a","FAM204A","Fam204a","fam204a","fam204a"
"fam20a","Annotated_Symbol","fam20a","fam20a","FAM20A","Fam20a","fam20a","fam20a"
"fam20b","Annotated_Symbol","fam20b","fam20b","FAM20B","Fam20b","fam20b","fam20b"
"fam210aa","Annotated_Symbol","fam210aa","fam210aa","FAM210AA","Fam210aa","fam210aa","fam210aa"
"fam210b","Annotated_Symbol","fam210b","fam210b","FAM210B","Fam210b","fam210b","fam210b"
"fam216a","Annotated_Symbol","fam216a","fam216a","FAM216A","Fam216a","fam216a","fam216a"
"fam217ba","Annotated_Symbol","fam217ba","fam217ba","FAM217BA","Fam217ba","fam217ba","fam217ba"
"fam219ab","Annotated_Symbol","fam219ab","fam219ab","FAM219AB","Fam219ab","fam219ab","fam219ab"
"fam221a","Annotated_Symbol","fam221a","fam221a","FAM221A","Fam221a","fam221a","fam221a"
"fam222a","Annotated_Symbol","fam222a","fam222a","FAM222A","Fam222a","fam222a","fam222a"
"fam222ba","Annotated_Symbol","fam222ba","fam222ba","FAM222BA","Fam222ba","fam222ba","fam222ba"
"fam228a","Annotated_Symbol","fam228a","fam228a","FAM228A","Fam228a","fam228a","fam228a"
"fam234a","Annotated_Symbol","fam234a","fam234a","FAM234A","Fam234a","fam234a","fam234a"
"fam240a","Annotated_Symbol","fam240a","fam240a","FAM240A","Fam240a","fam240a","fam240a"
"fam241a","Annotated_Symbol","fam241a","fam241a","FAM241A","Fam241a","fam241a","fam241a"
"fam32a","Annotated_Symbol","fam32a","fam32a","FAM32A","Fam32a","fam32a","fam32a"
"fam3a","Annotated_Symbol","fam3a","fam3a","FAM3A","Fam3a","fam3a","fam3a"
"fam43a","Annotated_Symbol","fam43a","fam43a","FAM43A","Fam43a","fam43a","fam43a"
"fam49al","Annotated_Symbol","fam49al","fam49al","FAM49AL","Fam49al","fam49al","fam49al"
"fam49ba","Annotated_Symbol","fam49ba","fam49ba","FAM49BA","Fam49ba","fam49ba","fam49ba"
"fam50a","Annotated_Symbol","fam50a","fam50a","FAM50A","Fam50a","fam50a","fam50a"
"fam53c","Annotated_Symbol","fam53c","fam53c","FAM53C","Fam53c","fam53c","fam53c"
"fam72a","Annotated_Symbol","fam72a","fam72a","FAM72A","Fam72a","fam72a","fam72a"
"fam76b","Annotated_Symbol","fam76b","fam76b","FAM76B","Fam76b","fam76b","fam76b"
"fam78ab","Annotated_Symbol","fam78ab","fam78ab","FAM78AB","Fam78ab","fam78ab","fam78ab"
"fam78ba","Annotated_Symbol","fam78ba","fam78ba","FAM78BA","Fam78ba","fam78ba","fam78ba"
"fam81b","Annotated_Symbol","fam81b","fam81b","FAM81B","Fam81b","fam81b","fam81b"
"fam83c","Annotated_Symbol","fam83c","fam83c","FAM83C","Fam83c","fam83c","fam83c"
"fam83e","Annotated_Symbol","fam83e","fam83e","FAM83E","Fam83e","fam83e","fam83e"
"fam89a","Annotated_Symbol","fam89a","fam89a","FAM89A","Fam89a","fam89a","fam89a"
"fam89b","Annotated_Symbol","fam89b","fam89b","FAM89B","Fam89b","fam89b","fam89b"
"fam91a1","Annotated_Symbol","fam91a1","fam91a1","FAM91A1","Fam91a1","fam91a1","fam91a1"
"fam98a","Annotated_Symbol","fam98a","fam98a","FAM98A","Fam98a","fam98a","fam98a"
"fam98b","Annotated_Symbol","fam98b","fam98b","FAM98B","Fam98b","fam98b","fam98b"
"fan1","Annotated_Symbol","fan1","fan1","FAN1","Fan1","fan1","fan1"
"fancb","Annotated_Symbol","fancb","fancb","FANCB","Fancb","fancb","fancb"
"fancc","Annotated_Symbol","fancc","fancc","FANCC","Fancc","fancc","fancc"
"fancd2","Annotated_Symbol","fancd2","fancd2","FANCD2","Fancd2","fancd2","fancd2"
"fance","Annotated_Symbol","fance","fance","FANCE","Fance","fance","fance"
"fancf","Annotated_Symbol","fancf","fancf","FANCF","Fancf","fancf","fancf"
"fancg","Annotated_Symbol","fancg","fancg","FANCG","Fancg","fancg","fancg"
"fanci","Annotated_Symbol","fanci","fanci","FANCI","Fanci","fanci","fanci"
"fancl","Annotated_Symbol","fancl","fancl","FANCL","Fancl","fancl","fancl"
"fancm","Annotated_Symbol","fancm","fancm","FANCM","Fancm","fancm","fancm"
"fank1","Annotated_Symbol","fank1","fank1","FANK1","Fank1","fank1","fank1"
"fap","Annotated_Symbol","fap","fap","FAP","Fap","fap","fap"
"farp2","Annotated_Symbol","farp2","farp2","FARP2","Farp2","farp2","farp2"
"fars2","Annotated_Symbol","fars2","fars2","FARS2","Fars2","fars2","fars2"
"faslg","Annotated_Symbol","faslg","faslg","FASLG","Faslg","faslg","faslg"
"fastk","Annotated_Symbol","fastk","fastk","FASTK","Fastk","fastk","fastk"
"fastkd1","Annotated_Symbol","fastkd1","fastkd1","FASTKD1","Fastkd1","fastkd1","fastkd1"
"fastkd2","Annotated_Symbol","fastkd2","fastkd2","FASTKD2","Fastkd2","fastkd2","fastkd2"
"fastkd3","Annotated_Symbol","fastkd3","fastkd3","FASTKD3","Fastkd3","fastkd3","fastkd3"
"fat1a","Annotated_Symbol","fat1a","fat1a","FAT1A","Fat1a","fat1a","fat1a"
"fat1b","Annotated_Symbol","fat1b","fat1b","FAT1B","Fat1b","fat1b","fat1b"
"fau","Annotated_Symbol","fau","fau","FAU","Fau","fau","fau"
"faub","Annotated_Symbol","faub","faub","FAUB","Faub","faub","faub"
"faxca","Annotated_Symbol","faxca","faxca","FAXCA","Faxca","faxca","faxca"
"faxdc2","Annotated_Symbol","faxdc2","faxdc2","FAXDC2","Faxdc2","faxdc2","faxdc2"
"fblim1","Annotated_Symbol","fblim1","fblim1","FBLIM1","Fblim1","fblim1","fblim1"
"fbln2","Annotated_Symbol","fbln2","fbln2","FBLN2","Fbln2","fbln2","fbln2"
"fbln4","Annotated_Symbol","fbln4","fbln4","FBLN4","Fbln4","fbln4","fbln4"
"fbln5","Annotated_Symbol","fbln5","fbln5","FBLN5","Fbln5","fbln5","fbln5"
"fbp1a","Annotated_Symbol","fbp1a","fbp1a","FBP1A","Fbp1a","fbp1a","fbp1a"
"fbp2","Annotated_Symbol","fbp2","fbp2","FBP2","Fbp2","fbp2","fbp2"
"fbrl","Annotated_Symbol","fbrl","fbrl","FBRL","Fbrl","fbrl","fbrl"
"fbrs","Annotated_Symbol","fbrs","fbrs","FBRS","Fbrs","fbrs","fbrs"
"fbrsl1","Annotated_Symbol","fbrsl1","fbrsl1","FBRSL1","Fbrsl1","fbrsl1","fbrsl1"
"fbx36","Annotated_Symbol","fbx36","fbx36","FBX36","Fbx36","fbx36","fbx36"
"fbx37","Annotated_Symbol","fbx37","fbx37","FBX37","Fbx37","fbx37","fbx37"
"fbx42","Annotated_Symbol","fbx42","fbx42","FBX42","Fbx42","fbx42","fbx42"
"fbx9","Annotated_Symbol","fbx9","fbx9","FBX9","Fbx9","fbx9","fbx9"
"fbxl18","Annotated_Symbol","fbxl18","fbxl18","FBXL18","Fbxl18","fbxl18","fbxl18"
"fbxl2","Annotated_Symbol","fbxl2","fbxl2","FBXL2","Fbxl2","fbxl2","fbxl2"
"fbxl22","Annotated_Symbol","fbxl22","fbxl22","FBXL22","Fbxl22","fbxl22","fbxl22"
"fbxl3a","Annotated_Symbol","fbxl3a","fbxl3a","FBXL3A","Fbxl3a","fbxl3a","fbxl3a"
"fbxl6","Annotated_Symbol","fbxl6","fbxl6","FBXL6","Fbxl6","fbxl6","fbxl6"
"fbxl7","Annotated_Symbol","fbxl7","fbxl7","FBXL7","Fbxl7","fbxl7","fbxl7"
"fbxl8","Annotated_Symbol","fbxl8","fbxl8","FBXL8","Fbxl8","fbxl8","fbxl8"
"fbxo15","Annotated_Symbol","fbxo15","fbxo15","FBXO15","Fbxo15","fbxo15","fbxo15"
"fbxo16","Annotated_Symbol","fbxo16","fbxo16","FBXO16","Fbxo16","fbxo16","fbxo16"
"fbxo18","Annotated_Symbol","fbxo18","fbxo18","FBXO18","Fbxo18","fbxo18","fbxo18"
"fbxo2","Annotated_Symbol","fbxo2","fbxo2","FBXO2","Fbxo2","fbxo2","fbxo2"
"fbxo25","Annotated_Symbol","fbxo25","fbxo25","FBXO25","Fbxo25","fbxo25","fbxo25"
"fbxo3","Annotated_Symbol","fbxo3","fbxo3","FBXO3","Fbxo3","fbxo3","fbxo3"
"fbxo30a","Annotated_Symbol","fbxo30a","fbxo30a","FBXO30A","Fbxo30a","fbxo30a","fbxo30a"
"fbxo31","Annotated_Symbol","fbxo31","fbxo31","FBXO31","Fbxo31","fbxo31","fbxo31"
"fbxo32","Annotated_Symbol","fbxo32","fbxo32","FBXO32","Fbxo32","fbxo32","fbxo32"
"fbxo34","Annotated_Symbol","fbxo34","fbxo34","FBXO34","Fbxo34","fbxo34","fbxo34"
"fbxo36a","Annotated_Symbol","fbxo36a","fbxo36a","FBXO36A","Fbxo36a","fbxo36a","fbxo36a"
"fbxo36b","Annotated_Symbol","fbxo36b","fbxo36b","FBXO36B","Fbxo36b","fbxo36b","fbxo36b"
"fbxo38","Annotated_Symbol","fbxo38","fbxo38","FBXO38","Fbxo38","fbxo38","fbxo38"
"fbxo4","Annotated_Symbol","fbxo4","fbxo4","FBXO4","Fbxo4","fbxo4","fbxo4"
"fbxo42","Annotated_Symbol","fbxo42","fbxo42","FBXO42","Fbxo42","fbxo42","fbxo42"
"fbxo5","Annotated_Symbol","fbxo5","fbxo5","FBXO5","Fbxo5","fbxo5","fbxo5"
"fbxo9","Annotated_Symbol","fbxo9","fbxo9","FBXO9","Fbxo9","fbxo9","fbxo9"
"fbxw10","Annotated_Symbol","fbxw10","fbxw10","FBXW10","Fbxw10","fbxw10","fbxw10"
"fbxw12","Annotated_Symbol","fbxw12","fbxw12","FBXW12","Fbxw12","fbxw12","fbxw12"
"fbxw4","Annotated_Symbol","fbxw4","fbxw4","FBXW4","Fbxw4","fbxw4","fbxw4"
"fbxw5","Annotated_Symbol","fbxw5","fbxw5","FBXW5","Fbxw5","fbxw5","fbxw5"
"fbxw9","Annotated_Symbol","fbxw9","fbxw9","FBXW9","Fbxw9","fbxw9","fbxw9"
"fcer1gl","Annotated_Symbol","fcer1gl","fcer1gl","FCER1GL","Fcer1gl","fcer1gl","fcer1gl"
"fcho2","Annotated_Symbol","fcho2","fcho2","FCHO2","Fcho2","fcho2","fcho2"
"fcl","Annotated_Symbol","fcl","fcl","FCL","Fcl","fcl","fcl"
"fcsk","Annotated_Symbol","fcsk","fcsk","FCSK","Fcsk","fcsk","fcsk"
"fdft1","Annotated_Symbol","fdft1","fdft1","FDFT1","Fdft1","fdft1","fdft1"
"fdx1b","Annotated_Symbol","fdx1b","fdx1b","FDX1B","Fdx1b","fdx1b","fdx1b"
"fdxacb1","Annotated_Symbol","fdxacb1","fdxacb1","FDXACB1","Fdxacb1","fdxacb1","fdxacb1"
"fdxr","Annotated_Symbol","fdxr","fdxr","FDXR","Fdxr","fdxr","fdxr"
"fech","Annotated_Symbol","fech","fech","FECH","Fech","fech","fech"
"fel","Annotated_Symbol","fel","fel","FEL","Fel","fel","fel"
"fem1b","Annotated_Symbol","fem1b","fem1b","FEM1B","Fem1b","fem1b","fem1b"
"fen1","Annotated_Symbol","fen1","fen1","FEN1","Fen1","fen1","fen1"
"fer","Annotated_Symbol","fer","fer","FER","Fer","fer","fer"
"fer1l4","Annotated_Symbol","fer1l4","fer1l4","FER1L4","Fer1l4","fer1l4","fer1l4"
"fer1l6","Annotated_Symbol","fer1l6","fer1l6","FER1L6","Fer1l6","fer1l6","fer1l6"
"fermt1","Annotated_Symbol","fermt1","fermt1","FERMT1","Fermt1","fermt1","fermt1"
"fetub","Annotated_Symbol","fetub","fetub","FETUB","Fetub","fetub","fetub"
"fez1","Annotated_Symbol","fez1","fez1","FEZ1","Fez1","fez1","fez1"
"fez2b","Annotated_Symbol","fez2b","fez2b","FEZ2B","Fez2b","fez2b","fez2b"
"fezf2","Annotated_Symbol","fezf2","fezf2","FEZF2","Fezf2","fezf2","fezf2"
"fga","Annotated_Symbol","fga","fga","FGA","Fga","fga","fga"
"fgd1","Annotated_Symbol","fgd1","fgd1","FGD1","Fgd1","fgd1","fgd1"
"fgd4a","Annotated_Symbol","fgd4a","fgd4a","FGD4A","Fgd4a","fgd4a","fgd4a"
"fgf1","Annotated_Symbol","fgf1","fgf1","FGF1","Fgf1","fgf1","fgf1"
"fgf10a","Annotated_Symbol","fgf10a","fgf10a","FGF10A","Fgf10a","fgf10a","fgf10a"
"fgf11a","Annotated_Symbol","fgf11a","fgf11a","FGF11A","Fgf11a","fgf11a","fgf11a"
"fgf14","Annotated_Symbol","fgf14","fgf14","FGF14","Fgf14","fgf14","fgf14"
"fgf17","Annotated_Symbol","fgf17","fgf17","FGF17","Fgf17","fgf17","fgf17"
"fgf18a","Annotated_Symbol","fgf18a","fgf18a","FGF18A","Fgf18a","fgf18a","fgf18a"
"fgf2","Annotated_Symbol","fgf2","fgf2","FGF2","Fgf2","fgf2","fgf2"
"fgf20b","Annotated_Symbol","fgf20b","fgf20b","FGF20B","Fgf20b","fgf20b","fgf20b"
"fgf21","Annotated_Symbol","fgf21","fgf21","FGF21","Fgf21","fgf21","fgf21"
"fgf8a","Annotated_Symbol","fgf8a","fgf8a","FGF8A","Fgf8a","fgf8a","fgf8a"
"fgfbp1a","Annotated_Symbol","fgfbp1a","fgfbp1a","FGFBP1A","Fgfbp1a","fgfbp1a","fgfbp1a"
"fgfbp3","Annotated_Symbol","fgfbp3","fgfbp3","FGFBP3","Fgfbp3","fgfbp3","fgfbp3"
"fgfp1","Annotated_Symbol","fgfp1","fgfp1","FGFP1","Fgfp1","fgfp1","fgfp1"
"fgfr1a","Annotated_Symbol","fgfr1a","fgfr1a","FGFR1A","Fgfr1a","fgfr1a","fgfr1a"
"fgfr3","Annotated_Symbol","fgfr3","fgfr3","FGFR3","Fgfr3","fgfr3","fgfr3"
"fgfrl1a","Annotated_Symbol","fgfrl1a","fgfrl1a","FGFRL1A","Fgfrl1a","fgfrl1a","fgfrl1a"
"fgg","Annotated_Symbol","fgg","fgg","FGG","Fgg","fgg","fgg"
"fggy","Annotated_Symbol","fggy","fggy","FGGY","Fggy","fggy","fggy"
"fgl1","Annotated_Symbol","fgl1","fgl1","FGL1","Fgl1","fgl1","fgl1"
"fgl1b","Annotated_Symbol","fgl1b","fgl1b","FGL1B","Fgl1b","fgl1b","fgl1b"
"fgl2","Annotated_Symbol","fgl2","fgl2","FGL2","Fgl2","fgl2","fgl2"
"fh","Annotated_Symbol","fh","fh","FH","Fh","fh","fh"
"fhad1","Annotated_Symbol","fhad1","fhad1","FHAD1","Fhad1","fhad1","fhad1"
"fhdc1","Annotated_Symbol","fhdc1","fhdc1","FHDC1","Fhdc1","fhdc1","fhdc1"
"fhdc3","Annotated_Symbol","fhdc3","fhdc3","FHDC3","Fhdc3","fhdc3","fhdc3"
"fhip1b","Annotated_Symbol","fhip1b","fhip1b","FHIP1B","Fhip1b","fhip1b","fhip1b"
"fhip2a","Annotated_Symbol","fhip2a","fhip2a","FHIP2A","Fhip2a","fhip2a","fhip2a"
"fhip2b","Annotated_Symbol","fhip2b","fhip2b","FHIP2B","Fhip2b","fhip2b","fhip2b"
"fhit","Annotated_Symbol","fhit","fhit","FHIT","Fhit","fhit","fhit"
"fhl1","Annotated_Symbol","fhl1","fhl1","FHL1","Fhl1","fhl1","fhl1"
"fhl1b","Annotated_Symbol","fhl1b","fhl1b","FHL1B","Fhl1b","fhl1b","fhl1b"
"fhl2a","Annotated_Symbol","fhl2a","fhl2a","FHL2A","Fhl2a","fhl2a","fhl2a"
"fhl3","Annotated_Symbol","fhl3","fhl3","FHL3","Fhl3","fhl3","fhl3"
"fhl3a","Annotated_Symbol","fhl3a","fhl3a","FHL3A","Fhl3a","fhl3a","fhl3a"
"fhl5","Annotated_Symbol","fhl5","fhl5","FHL5","Fhl5","fhl5","fhl5"
"fhod3b","Annotated_Symbol","fhod3b","fhod3b","FHOD3B","Fhod3b","fhod3b","fhod3b"
"fibcd1a","Annotated_Symbol","fibcd1a","fibcd1a","FIBCD1A","Fibcd1a","fibcd1a","fibcd1a"
"ficd","Annotated_Symbol","ficd","ficd","FICD","Ficd","ficd","ficd"
"fig4a","Annotated_Symbol","fig4a","fig4a","FIG4A","Fig4a","fig4a","fig4a"
"figla","Annotated_Symbol","figla","figla","FIGLA","Figla","figla","figla"
"fignl1","Annotated_Symbol","fignl1","fignl1","FIGNL1","Fignl1","fignl1","fignl1"
"fignl2","Annotated_Symbol","fignl2","fignl2","FIGNL2","Fignl2","fignl2","fignl2"
"fip1l1b","Annotated_Symbol","fip1l1b","fip1l1b","FIP1L1B","Fip1l1b","fip1l1b","fip1l1b"
"fitm1l","Annotated_Symbol","fitm1l","fitm1l","FITM1L","Fitm1l","fitm1l","fitm1l"
"fkb1a","Annotated_Symbol","fkb1a","fkb1a","FKB1A","Fkb1a","fkb1a","fkb1a"
"fkb1b","Annotated_Symbol","fkb1b","fkb1b","FKB1B","Fkb1b","fkb1b","fkb1b"
"fkbp10b","Annotated_Symbol","fkbp10b","fkbp10b","FKBP10B","Fkbp10b","fkbp10b","fkbp10b"
"fkbp14","Annotated_Symbol","fkbp14","fkbp14","FKBP14","Fkbp14","fkbp14","fkbp14"
"fkbp15a","Annotated_Symbol","fkbp15a","fkbp15a","FKBP15A","Fkbp15a","fkbp15a","fkbp15a"
"fkbp15b","Annotated_Symbol","fkbp15b","fkbp15b","FKBP15B","Fkbp15b","fkbp15b","fkbp15b"
"fkbp2","Annotated_Symbol","fkbp2","fkbp2","FKBP2","Fkbp2","fkbp2","fkbp2"
"fkbp3","Annotated_Symbol","fkbp3","fkbp3","FKBP3","Fkbp3","fkbp3","fkbp3"
"fkbp4","Annotated_Symbol","fkbp4","fkbp4","FKBP4","Fkbp4","fkbp4","fkbp4"
"fkbp5","Annotated_Symbol","fkbp5","fkbp5","FKBP5","Fkbp5","fkbp5","fkbp5"
"fkbp6","Annotated_Symbol","fkbp6","fkbp6","FKBP6","Fkbp6","fkbp6","fkbp6"
"fkbp7","Annotated_Symbol","fkbp7","fkbp7","FKBP7","Fkbp7","fkbp7","fkbp7"
"fkbp8","Annotated_Symbol","fkbp8","fkbp8","FKBP8","Fkbp8","fkbp8","fkbp8"
"fkbpl","Annotated_Symbol","fkbpl","fkbpl","FKBPL","Fkbpl","fkbpl","fkbpl"
"fkh","Annotated_Symbol","fkh","fkh","FKH","Fkh","fkh","fkh"
"fktn","Annotated_Symbol","fktn","fktn","FKTN","Fktn","fktn","fktn"
"flacc1","Annotated_Symbol","flacc1","flacc1","FLACC1","Flacc1","flacc1","flacc1"
"flcn","Annotated_Symbol","flcn","flcn","FLCN","Flcn","flcn","flcn"
"fli1","Annotated_Symbol","fli1","fli1","FLI1","Fli1","fli1","fli1"
"flna","Annotated_Symbol","flna","flna","FLNA","Flna","flna","flna"
"flot1","Annotated_Symbol","flot1","flot1","FLOT1","Flot1","flot1","flot1"
"flot2b","Annotated_Symbol","flot2b","flot2b","FLOT2B","Flot2b","flot2b","flot2b"
"flr","Annotated_Symbol","flr","flr","FLR","Flr","flr","flr"
"flrt3","Annotated_Symbol","flrt3","flrt3","FLRT3","Flrt3","flrt3","flrt3"
"flt1","Annotated_Symbol","flt1","flt1","FLT1","Flt1","flt1","flt1"
"flt2","Annotated_Symbol","flt2","flt2","FLT2","Flt2","flt2","flt2"
"flt3","Annotated_Symbol","flt3","flt3","FLT3","Flt3","flt3","flt3"
"flt4","Annotated_Symbol","flt4","flt4","FLT4","Flt4","flt4","flt4"
"flvcr1","Annotated_Symbol","flvcr1","flvcr1","FLVCR1","Flvcr1","flvcr1","flvcr1"
"flvcr2a","Annotated_Symbol","flvcr2a","flvcr2a","FLVCR2A","Flvcr2a","flvcr2a","flvcr2a"
"fmnl3","Annotated_Symbol","fmnl3","fmnl3","FMNL3","Fmnl3","fmnl3","fmnl3"
"fmo5","Annotated_Symbol","fmo5","fmo5","FMO5","Fmo5","fmo5","fmo5"
"fmoda","Annotated_Symbol","fmoda","fmoda","FMODA","Fmoda","fmoda","fmoda"
"fmr1","Annotated_Symbol","fmr1","fmr1","FMR1","Fmr1","fmr1","fmr1"
"fnbp4","Annotated_Symbol","fnbp4","fnbp4","FNBP4","Fnbp4","fnbp4","fnbp4"
"fndc3a","Annotated_Symbol","fndc3a","fndc3a","FNDC3A","Fndc3a","fndc3a","fndc3a"
"fndc3ba","Annotated_Symbol","fndc3ba","fndc3ba","FNDC3BA","Fndc3ba","fndc3ba","fndc3ba"
"fndc4a","Annotated_Symbol","fndc4a","fndc4a","FNDC4A","Fndc4a","fndc4a","fndc4a"
"fndc5a","Annotated_Symbol","fndc5a","fndc5a","FNDC5A","Fndc5a","fndc5a","fndc5a"
"fndc7rs1","Annotated_Symbol","fndc7rs1","fndc7rs1","FNDC7RS1","Fndc7rs1","fndc7rs1","fndc7rs1"
"fnta","Annotated_Symbol","fnta","fnta","FNTA","Fnta","fnta","fnta"
"fntb","Annotated_Symbol","fntb","fntb","FNTB","Fntb","fntb","fntb"
"focad","Annotated_Symbol","focad","focad","FOCAD","Focad","focad","focad"
"folr","Annotated_Symbol","folr","folr","FOLR","Folr","folr","folr"
